gid,stationnam,streetaddr,city,state,zip,stationpho,access,access2,lat,lon,id,geom
578,SunLine,32505 Harry Oliver Trail,Thousand Palms,CA,92276,760-343-3456 x312,Pub,Public - call ahead,33.81328,-116.394413,21796,0101000020110F0000810706103E195DC0D53E1D8F19E84040
579,CAFCP - West Sacramento,3300 Industrial Boulevard,West Sacramento,CA,95691,916-371-2870,Priv,Private - fleet customers only,38.574398,-121.55685,21829,0101000020110F0000C4B12E6EA3635EC0A471A8DF85494340
580,Arizona Public Service,435 S 2nd Avenue,Phoenix,AZ,85003,\N,Priv,Private access only,33.443388,-112.075851,21831,0101000020110F00009C1727BEDA045CC02CB81FF0C0B84040
581,City of Las Vegas,2950 Ronemus Drive,Las Vegas,NV,89128,702-229-6971,Priv,Private - government only,36.214791,-115.25742,21832,0101000020110F00008655BC9179D05CC0D13C80457E1B4240
582,Honda Solar,1900 Harpers Way,Torrance,CA,90501,800-999-1009,Priv,Private access only,33.842773,-118.313873,21869,0101000020110F00003C86C77E16945DC0D57954FCDFEB4040
583,SCAQMD - Diamond Bar,21865 Copley Drive,Diamond Bar,CA,91765,909-396-2238,Pub,Public - call ahead,34.002082,-117.828924,25612,0101000020110F0000A6B73F170D755DC084F4143944004140
584,UC - Irvine,19172 Jamboree Rd,Irvine,CA,92697,949-824-1999 x212,Priv,Private access only,33.665494,-117.853882,27339,0101000020110F00002829B000A6765DC095D74AE82ED54040
585,Santa Monica - SCAQMD,2500 Michigan Avenue,Santa Monica,CA,90404,310-458-8221,Priv,Private access only,34.026184,-118.469032,29436,0101000020110F0000C231CB9E049E5DC0D8D64FFF59034140
586,HATCI Chino,12610 E End Ave,Chino,CA,91710,\N,Priv,Private access only,34.023983,-117.724548,30111,0101000020110F0000761893FE5E6E5DC07A54FCDF11034140
587,Riverside,8095 Lincoln Ave,Riverside,CA,92504,\N,Priv,Private access only,33.923869,-117.411993,30120,0101000020110F0000944BE3175E5A5DC0E564E25641F64040
588,Santa Ana,220 S Daisy Street,Santa Ana,CA,92703,\N,Priv,Private access only,33.743006,-117.897247,30127,0101000020110F0000C85BAE7E6C795DC0AB5D13D21ADF4040
589,Toyota,19001 S Western Avenue,Torrance,CA,90509,\N,Priv,Private access only,33.8535,-118.313008,30131,0101000020110F0000BAD8B45208945DC06891ED7C3FED4040
590,Penn State,Penn State University - Office of Physical Plant,University Park,PA,16802,\N,Priv,Private access only,40.813419,-77.85907,30136,0101000020110F000062BEBC00FB7653C0F778211D1E684440
591,Fort Belvoir,9901 Dalrymple,Fort Belvoir,VA,22060,\N,Priv,Private access only,38.689725,-77.143038,30376,0101000020110F00007505DB88274953C0E71DA7E848584340
592,Hickam AFB,Hickam Air Force Base,Honolulu,HI,96853,\N,Priv,Private - government only,21.329921,-157.962724,31321,0101000020110F000061E28FA2CEBE63C07C43E1B375543540
593,UTC Power - South Windsor,195 Governor's Hwy,South Windsor,CT,6074,\N,Priv,Private access only,41.831931,-72.609556,33058,0101000020110F000028452BF7022752C0A8C30AB77CEA4440
594,University of Missouri - Rolla,4000 Enterprise Dr,Rolla,MO,65401,\N,Priv,Private access only,37.982163,-91.721843,33059,0101000020110F00002E76FBAC32EE56C0AE2B6684B7FD4240
595,White Plains DPW depot serving Westchester Coutny,140 S Kensico Ave,White Plains,NY,10601,\N,Priv,Private access only,41.034218,-73.755821,33060,0101000020110F000052280B5F5F7052C09F77634161844440
596,Ford Dearborn,Miller Rd and S Dix St,Dearborn,MI,48120,\N,Priv,Private access only,42.294615,-83.233336,33062,0101000020110F0000AF3E1EFAEECE54C09DF4BEF1B5254540
597,GTI - Gas Technology Institute,1700 S. Mount Prospect Rd,Des Plains,IL,60018,\N,Priv,Private access only,42.017847,-87.921507,33063,0101000020110F00003F027FF8F9FA55C076AA7CCF48024540
598,GM Proving Grounds,3300 General Motors Rd,Milford,MI,48380,\N,Priv,Private access only,42.574028,-83.682924,33064,0101000020110F0000D369DD06B5EB54C0807EDFBF79494540
599,Next Energy,461 Burroughs,Detroit,MI,48202,\N,Priv,Private access only,42.364119,-83.072283,33066,0101000020110F0000A243E048A0C454C0166D8E739B2E4540
600,Shell Santa Monica Blvd,11574 Santa Monica Blvd,Los Angeles,CA,90025,\N,Pub,Public - card key at all times,34.044465,-118.453617,33472,0101000020110F000037FA980F089D5DC088687407B1054140
601,Honda Home Energy,1900 Harpers Way,Torrance,CA,90501,800-999-1009,Priv,Private access only,33.842878,-118.31396,33474,0101000020110F00002310AFEB17945DC04A42226DE3EB4040
602,Humboldt State,Rossow St & 16th St,Arcata,CA,95521,\N,Priv,Private access only,40.872954,-124.079468,33475,0101000020110F00000745F30016055FC0C974E8F4BC6F4440
603,Nuvera Headquarters,129 Concord Rd,Billerica,MA,1821,\N,Priv,Private access only,42.549221,-71.284134,33476,0101000020110F0000A06B5F402FD251C062A3ACDF4C464540
604,OSU,930 Kinnear Road,Columbus,OH,43212,\N,Priv,Private access only,39.997984,-83.032838,33477,0101000020110F00003A048E041AC254C034F790F0BDFF4340
605,Air Products HQ,7201 Hamilton Blvd,Allentown,PA,18195,\N,Priv,Private access only,40.550007,-75.594681,33478,0101000020110F00005DA3E5400FE652C019C91EA166464440
606,"Home Energy (Phase II), Plug Power",968 Albany Shaker Road,Latham,NY,12110,\N,Priv,Private access only,42.75796,-73.819512,33577,0101000020110F00007EAB75E2727452C08CD651D504614540
607,Harriman Campus,Wade Road,Albany,NY,12207,\N,Priv,Private access only,42.63867,-73.731333,33578,0101000020110F0000145FED28CE6E52C0D97745F0BF514540
608,Monroe County & RIT,1155 Scottsville Road,Rochester,NY,14624,\N,Priv,Private access only,43.121477,-77.651925,33579,0101000020110F0000789CA223B96953C0AC1BEF8E8C8F4540
609,LAX-east Clean Energy,10400 Aviation Blvd,Los Angeles,CA,90045,\N,Priv,Private access only,33.941453,-118.378143,33581,0101000020110F0000868DB27E33985DC04DDC2A8881F84040
610,Camp Pendleton,Carmelo Dr & Harbor Dr,Oceanside,CA,92058,\N,Priv,Private access only,33.211677,-117.389219,33582,0101000020110F0000D6FECEF6E8585DC05F28603B189B4040
611,Burbank,151 W Verdugo Ave,Burbank,CA,91502,\N,Pub,Public - card key at all times,34.174435,-118.310501,33585,0101000020110F00000518963FDF935DC08E23D6E253164140
612,GM Ardsley,425 Saw Mill River Rd.,Ardsley,NY,10502,\N,Priv,Private - fleet customers only,41.006889,-73.852978,33870,0101000020110F0000478D0931977652C0E0D91EBDE1804440
613,HydrogenFuel Station,335 Richland Street,Columbia,SC,29201,803-354-5720,Pub,Public - call ahead,34.006419,-81.051715,33980,0101000020110F00009C6D6E4C4F4354C059897956D2004140
614,Shell JFK,Bldg 141 Federal Circle JFK International Airport,Jamaica,NY,11430,\N,Priv,Private access only,40.656772,-73.810003,34814,0101000020110F00005CAAD216D77352C0D976DA1A11544440
615,NREL Renewable H2 Station (NWTC),18200 State Highway 128,Boulder,CO,80303,\N,Priv,Private - government only,39.913356,-105.22945,35021,0101000020110F00004D840D4FAF4E5AC07DCD72D9E8F44340
616,GM Honeoye Falls,10 Carriage St,Honeoye Falls,NY,14472,\N,Priv,Private - fleet customers only,42.952108,-77.597106,35024,0101000020110F0000B48F15FC366653C04721C9ACDE794540
617,Hempstead,320 Lido Blvd,Lido Beach,NY,11569,\N,Priv,Private - fleet customers only,40.592737,-73.588429,35338,0101000020110F000027C11BD2A86552C0881057CEDE4B4440
618,UofTexas Austin,10100 Burnet Road EME 133,Austin,TX,78758,\N,Priv,Private access only,30.384515,-97.72385,35589,0101000020110F00006A4DF38E536E58C04AD235936F623E40
619,RIT,1 Lomb Memorial Dr,Rochester,NY,14623,\N,Priv,Private access only,43.087539,-77.674519,35903,0101000020110F0000F661BD512B6B53C0F10F5B7A348B4540
620,Orange County Sanitation District,10844 Ellis Avenue,Fountain Valley,CA,92708,\N,Pub,Public - card key at all times,33.691988,-117.938965,41133,0101000020110F0000ACC5A700187C5DC0BB9C121093D84040
621,Torrance Shell,2051 W 190th St,Torrance,CA,90504,\N,Pub,Public - card key at all times,33.858571,-118.315049,41134,0101000020110F0000CDE847C329945DC0A2258FA7E5ED4040
622,SunHydro Wallingford,10 Technology Dr,Wallingford,CT,6492,\N,Priv,Private access only,41.490507,-72.760932,41135,0101000020110F0000B69E211CB33052C0C3BAF1EEC8BE4440
623,Sage Mill / Kimberly-Clark,860 Bettis Academy Road,Graniteville,SC,29829,\N,Priv,Private access only,33.623004,-81.849033,41136,0101000020110F0000630E828E567654C07BA35698BECF4040
624,Emeryville,1177 47th Street,Emeryville,CA,94608,\N,Pub,Public - card key at all times,37.834026,-122.282644,48407,0101000020110F0000481ADCD616925EC0C1012D5DC1EA4240
625,Flint MTA,5052 S Dort Highway,Flint,MI,48507,\N,Priv,Private access only,42.954953,-83.653215,48408,0101000020110F00006D904946CEE954C0CA1B60E63B7A4540
626,Harbor City Mebtahi Chevron,25800 Western Ave,Harbor City,CA,90710,\N,Pub,Public - card key at all times,33.78903,-118.30732,48409,0101000020110F0000085A8121AB935DC00CC85EEFFEE44040
627,Joint Base Lewis-McChord,2019 Liggett Ave,Joint Base Lewis-McChord,WA,98433,\N,Priv,Private access only,47.088423,-122.602948,48410,0101000020110F0000124C35B396A65EC06B9BE271518B4740
628,Newport Beach Shell,1600 Jamboree Rd,Newport Beach,CA,92660,\N,Pub,Public - card key at all times,33.625292,-117.878418,48411,0101000020110F0000EF8D210038785DC0A839799109D04040
629,Schofield Barracks,2805 Duck Road,Wahiawa,HI,96857,\N,Priv,Private - government only,21.481786,-158.049742,48871,0101000020110F00009BE7887C97C163C0B0ABC953567B3540
630,Kaneohe Marine Base,370 3rd Street,Kaneohe Bay,HI,96863,\N,Priv,Private - government only,21.444929,-157.764333,48872,0101000020110F00001DC87A6A75B863C0BF0AF0DDE6713540
